name_of_audio,speaking_time,word_count,avarage_word
s45_p9_f.wav,31.9,51,1.599
s47_p9_m.wav,31.1,51,1.64
S52_P9_F.wav,25.1,51,2.032
S53_P9_F.wav,37.0,51,1.378
S57_P9_F.wav,27.85,51,1.831
S59_P9_F.wav,28.35,51,1.799
S60_P9_F.wav,24.35,51,2.094
S62_P9_F.wav,39.25,51,1.299
S63_P9_F.wav,26.401,51,1.932
S64_P9_F.wav,35.9,51,1.421
S66_P9_F.wav,34.95,51,1.459
S67_P9_F.wav,27.1,51,1.882
S68_P9_F.wav,28.1,51,1.815
S69_P9_M.wav,26.7,51,1.91
S6_P9_F.wav,28.6,51,1.783
S74_P9_F.wav,29.35,51,1.738
S77_P9_F.wav,28.1,51,1.815
S80_P9_F.wav,29.85,51,1.709
S82_P9_F.wav,31.0,51,1.645
